instrument_id,venue,ts_event,trade_id,event_seq,price,quantity,aggressor_side,trade_condition,buyer_id,seller_id
AAPL.P.XNAS,XNAS,2025-09-15 13:30:00.000,T00000000,0,180.54,11,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:01.100,T00000001,1,183.68,13,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:01.300,T00000002,2,183.39000000000001,18,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:01.800,T00000003,3,179.18,20,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:01.900,T00000004,4,178.33,42,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:02.100,T00000005,5,178.44,22,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:02.700,T00000006,6,175.99,59,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:03.300,T00000007,7,177.09,20,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:07.200,T00000008,8,177.9,13,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:08.400,T00000009,9,177.26,10,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:08.900,T00000010,10,177.1,35,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:09.400,T00000011,11,177.77,43,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:10.400,T00000012,12,174.45000000000002,31,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:12.000,T00000013,13,178.81,24,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:12.600,T00000014,14,181.21,18,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:13.300,T00000015,15,177.33,17,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:13.800,T00000016,16,177.56,51,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:15.100,T00000017,17,177.55,31,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:17.100,T00000018,18,181.05,77,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:17.300,T00000019,19,180.19,13,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:17.400,T00000020,20,180.49,36,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:18.200,T00000021,21,184.44,15,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:19.000,T00000022,22,182.16,17,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:20.100,T00000023,23,180.76,9,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:20.400,T00000024,24,183.05,18,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:20.900,T00000025,25,182.27,36,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:21.100,T00000026,26,185.89000000000001,12,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:21.700,T00000027,27,187.33,18,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:23.000,T00000028,28,184.85,20,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:23.600,T00000029,29,186.01,39,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:24.600,T00000030,30,183.04000000000002,32,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:25.800,T00000031,31,184.6,17,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:29.100,T00000032,32,180.41,62,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:29.300,T00000033,33,179.49,26,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:30.500,T00000034,34,182.12,25,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:31.600,T00000035,35,185.85,13,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:32.400,T00000036,36,187.45000000000002,8,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:33.200,T00000037,37,186.73,32,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:35.100,T00000038,38,180.71,12,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:35.400,T00000039,39,182.49,11,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:36.400,T00000040,40,182.83,51,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:38.200,T00000041,41,186.06,24,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:39.400,T00000042,42,185.0,10,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:40.000,T00000043,43,185.86,28,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:40.400,T00000044,44,183.77,31,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:43.000,T00000045,45,187.97,26,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:44.000,T00000046,46,184.8,38,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:44.300,T00000047,47,183.12,25,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:45.100,T00000048,48,180.51,15,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:45.300,T00000049,49,180.49,51,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:46.400,T00000050,50,178.8,16,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:46.500,T00000051,51,178.64000000000001,37,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:46.900,T00000052,52,179.24,11,S,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:47.500,T00000053,53,178.21,33,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:51.800,T00000054,54,176.99,32,B,,,
AAPL.P.XNAS,XNAS,2025-09-15 13:30:52.900,T00000055,55,174.06,11,B,,,
