instrument_id,venue,ts_event,trade_id,event_seq,price,quantity,aggressor_side,trade_condition,buyer_id,seller_id
MSFT.P.XNAS,XNAS,2025-09-16 13:30:01.000,T00000000,0,387.95,30,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:01.300,T00000001,1,383.37,13,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:01.800,T00000002,2,379.77,28,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:02.300,T00000003,3,376.21000000000004,15,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:02.700,T00000004,4,376.25,16,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:04.500,T00000005,5,372.74,33,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:05.400,T00000006,6,378.58,20,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:06.000,T00000007,7,381.06,14,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:06.500,T00000008,8,380.67,56,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:07.000,T00000009,9,378.45,12,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:07.600,T00000010,10,373.77,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:08.100,T00000011,11,378.66,11,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:08.300,T00000012,12,380.42,22,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:08.400,T00000013,13,378.85,13,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:08.500,T00000014,14,378.16,16,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:10.000,T00000015,15,384.01,18,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:11.000,T00000016,16,390.7,13,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:11.100,T00000017,17,391.40000000000003,14,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:11.300,T00000018,18,391.24,26,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:11.500,T00000019,19,389.61,91,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:12.300,T00000020,20,391.47,17,B,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:12.500,T00000021,21,394.72,24,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:13.100,T00000022,22,393.99,13,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:13.400,T00000023,23,392.14000000000004,47,S,,,
MSFT.P.XNAS,XNAS,2025-09-16 13:30:14.000,T00000024,24,392.56,17,B,,,
