instrument_id,venue,ts_event,trade_id,event_seq,price,quantity,aggressor_side,trade_condition,buyer_id,seller_id
SPY.P.ARCA,ARCA,2025-09-16 13:30:00.300,T00000000,0,447.94,10,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:00.800,T00000001,1,451.05,10,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:01.900,T00000002,2,445.11,24,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:02.600,T00000003,3,444.41,26,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:05.100,T00000004,4,442.41,16,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:05.200,T00000005,5,443.59000000000003,17,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:05.800,T00000006,6,441.71000000000004,49,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:06.500,T00000007,7,442.85,15,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:07.000,T00000008,8,440.59000000000003,17,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:09.300,T00000009,9,442.78000000000003,32,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:11.300,T00000010,10,443.45,20,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:12.100,T00000011,11,443.92,31,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:15.900,T00000012,12,447.56,11,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:16.500,T00000013,13,450.67,168,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:16.600,T00000014,14,451.05,21,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:17.100,T00000015,15,450.91,29,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:17.900,T00000016,16,448.49,62,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:19.200,T00000017,17,453.39,21,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:20.900,T00000018,18,451.78000000000003,11,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:21.000,T00000019,19,452.91,12,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:21.100,T00000020,20,453.57,14,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:21.200,T00000021,21,451.86,35,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:23.200,T00000022,22,447.75,64,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:23.300,T00000023,23,446.84000000000003,123,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:24.000,T00000024,24,441.67,84,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:24.700,T00000025,25,439.67,20,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:24.800,T00000026,26,439.18,31,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:24.900,T00000027,27,439.42,69,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:25.300,T00000028,28,440.78000000000003,19,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:25.900,T00000029,29,444.11,91,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:26.900,T00000030,30,440.97,54,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:27.000,T00000031,31,442.16,68,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:28.000,T00000032,32,441.82,16,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:30.700,T00000033,33,442.89,14,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:32.400,T00000034,34,444.21000000000004,13,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:35.400,T00000035,35,450.76,15,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:35.600,T00000036,36,451.64,59,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:36.500,T00000037,37,454.63,25,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:37.600,T00000038,38,460.69,10,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:40.900,T00000039,39,451.83,11,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:41.200,T00000040,40,452.86,16,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:41.700,T00000041,41,453.53000000000003,10,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:42.700,T00000042,42,450.56,14,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:44.000,T00000043,43,448.44,25,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:44.200,T00000044,44,446.83,26,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:44.800,T00000045,45,450.25,14,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:45.100,T00000046,46,450.91,12,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:46.600,T00000047,47,445.38,10,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:47.000,T00000048,48,445.25,59,B,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:48.800,T00000049,49,440.94,64,S,,,
SPY.P.ARCA,ARCA,2025-09-16 13:30:49.400,T00000050,50,438.56,58,B,,,
